KAYIT SIRA,ENDEKS KODU,ENDEKSLER,ENDEKSLERIN INGILIZCE ISIMLERI,KUR TURU,TARIH,KAPANIS,ACILIS,EN DUSUK,EN YUKSEK
47,XKOBI_CFNPTLUS,BIST KOBI SANAYI (ABD DOLARI),BIST SME INDUSTRIAL (USD),USD,30/10/2020,3388.64,3388.64,3388.64,3388.64
48,XKOBI_CFNPTLER,BIST KOBI SANAYI (EURO),BIST SME INDUSTRIAL (EURO),EUR,30/10/2020,3402.15,3402.15,3402.15,3402.15
49,XTMTU,BIST TEMETTU,BIST DIVIDEND,TRY,30/10/2020,1243.29,1237.82,1223.75,1246.41
50,XTMTU_CFNPTLUS,BIST TEMETTU (ABD DOLARI),BIST DIVIDEND (USD),USD,30/10/2020,870.81,870.81,870.81,870.81
51,XTMTU_CFNPTLER,BIST TEMETTU (EURO),BIST DIVIDEND (EURO),EUR,30/10/2020,874.28,874.28,874.28,874.28
52,XTM25,BIST TEMETTU 25,BIST DIVIDEND 25,TRY,30/10/2020,1509.02,1481.35,1465.59,1509.02
53,XTM25_CFNPTLUS,BIST TEMETTU 25 (ABD DOLARI),BIST DIVIDEND 25 (USD),USD,30/10/2020,1056.93,1056.93,1056.93,1056.93
54,XTM25_CFNPTLER,BIST TEMETTU 25 (EURO),BIST DIVIDEND 25 (EURO),EUR,30/10/2020,1061.14,1061.14,1061.14,1061.14
55,XKURY,BIST KURUMSAL YONETIM,BIST CORPORATE GOVERNANCE,TRY,30/10/2020,933.37,928.44,917.1,936.83
56,XKURY_CFNPTLUS,BIST KURUMSAL YONETIM (ABD DOLARI),BIST CORPORATE GOVERNANCE (USD),USD,30/10/2020,653.73,653.73,653.73,653.73
57,XKURY_CFNPTLER,BIST KURUMSAL YONETIM (EURO),BIST CORPORATE GOVERNANCE (EURO),EUR,30/10/2020,656.34,656.34,656.34,656.34
58,XUSRD,BIST SURDURULEBILIRLIK,BIST SUSTAINABILITY,TRY,30/10/2020,1275.69,1268.14,1252.77,1279.18
59,XUSRD_CFCPTLUS,BIST SURDURULEBILIRLIK (ABD DOLARI),BIST SUSTAINABILITY (USD),USD,30/10/2020,893.5,893.5,893.5,893.5
60,XUSRD_CFCPTLER,BIST SURDURULEBILIRLIK (EURO),BIST SUSTAINABILITY (EURO),EUR,30/10/2020,897.06,897.06,897.06,897.06
61,XUSIN,BIST SINAI,BIST INDUSTRIALS,TRY,30/10/2020,1729.44,1725.67,1690.21,1737.84
62,XUSIN_CFNPTLUS,BIST SINAI (ABD DOLARI),BIST INDUSTRIALS (USD),USD,30/10/2020,1211.31,1211.31,1211.31,1211.31
63,XUSIN_CFNPTLER,BIST SINAI (EURO),BIST INDUSTRIALS (EURO),EUR,30/10/2020,1216.14,1216.14,1216.14,1216.14
64,XGIDA,BIST GIDA ICECEK,BIST FOOD BEVERAGE,TRY,30/10/2020,1748.69,1773.89,1748.31,1799.34
65,XGIDA_CFNPTLUS,BIST GIDA ICECEK (ABD DOLARI),BIST FOOD BEVERAGE (USD),USD,30/10/2020,1224.79,1224.79,1224.79,1224.79
66,XGIDA_CFNPTLER,BIST GIDA ICECEK (EURO),BIST FOOD BEVERAGE (EURO),EUR,30/10/2020,1229.67,1229.67,1229.67,1229.67
67,XKMYA,BIST KIMYA PETROL PLASTIK,BIST CHEM. PETROL PLASTIC,TRY,30/10/2020,1269.29,1279.11,1256.53,1284.41
68,XKMYA_CFNPTLUS,BIST KIMYA PETROL PLASTIK (ABD DOLARI),BIST CHEM. PETROL PLASTIC (USD),USD,30/10/2020,889.02,889.02,889.02,889.02
69,XKMYA_CFNPTLER,BIST KIMYA PETROL PLASTIK (EURO),BIST CHEM. PETROL PLASTIC (EURO),EUR,30/10/2020,892.56,892.56,892.56,892.56
70,XMADN,BIST MADENCILIK,BIST MINING,TRY,30/10/2020,1144.55,1179.3,1144.55,1179.3
71,XMADN_CFNPTLUS,BIST MADENCILIK (ABD DOLARI),BIST MINING (USD),USD,30/10/2020,801.65,801.65,801.65,801.65
72,XMADN_CFNPTLER,BIST MADENCILIK (EURO),BIST MINING (EURO),EUR,30/10/2020,804.84,804.84,804.84,804.84
73,XMANA,BIST METAL ANA,BIST BASIC METAL,TRY,30/10/2020,2932.19,2850.29,2832.82,2932.76
74,XMANA_CFNPTLUS,BIST METAL ANA (ABD DOLARI),BIST BASIC METAL (USD),USD,30/10/2020,2053.72,2053.72,2053.72,2053.72
75,XMANA_CFNPTLER,BIST METAL ANA (EURO),BIST BASIC METAL (EURO),EUR,30/10/2020,2061.9,2061.9,2061.9,2061.9
76,XMESY,BIST METAL ESYA MAKINA,BIST METAL PRODUCTS MACH.,TRY,30/10/2020,2501.01,2391.33,2347.17,2501.01
77,XMESY_CFNPTLUS,BIST METAL ESYA MAKINA (ABD DOLARI),BIST METAL PRODUCTS MACH. (USD),USD,30/10/2020,1751.72,1751.72,1751.72,1751.72
78,XMESY_CFNPTLER,BIST METAL ESYA MAKINA (EURO),BIST METAL PRODUCTS MACH. (EURO),EUR,30/10/2020,1758.7,1758.7,1758.7,1758.7
79,XKAGT,BIST ORMAN KAGIT BASIM,BIST WOOD PAPER PRINTING,TRY,30/10/2020,1703.24,1706.06,1680.32,1716.38
80,XKAGT_CFNPTLUS,BIST ORMAN KAGIT BASIM (ABD DOLARI),BIST WOOD PAPER PRINTING (USD),USD,30/10/2020,1192.95,1192.95,1192.95,1192.95
81,XKAGT_CFNPTLER,BIST ORMAN KAGIT BASIM (EURO),BIST WOOD PAPER PRINTING (EURO),EUR,30/10/2020,1197.71,1197.71,1197.71,1197.71
82,XTAST,BIST TAS TOPRAK,BIST NONMETAL MIN. PRODUCT,TRY,30/10/2020,1362.26,1330.35,1308.73,1447.9
83,XTAST_CFNPTLUS,BIST TAS TOPRAK (ABD DOLARI),BIST NONMETAL MIN. PRODUCT (USD),USD,30/10/2020,954.14,954.14,954.14,954.14
84,XTAST_CFNPTLER,BIST TAS TOPRAK (EURO),BIST NONMETAL MIN. PRODUCT (EURO),EUR,30/10/2020,957.94,957.94,957.94,957.94
85,XTEKS,BIST TEKSTIL DERI,BIST TEXTILE LEATHER,TRY,30/10/2020,654.8,662.93,648.25,666.22
86,XTEKS_CFNPTLUS,BIST TEKSTIL DERI (ABD DOLARI),BIST TEXTILE LEATHER (USD),USD,30/10/2020,458.62,458.62,458.62,458.62
87,XTEKS_CFNPTLER,BIST TEKSTIL DERI (EURO),BIST TEXTILE LEATHER (EURO),EUR,30/10/2020,460.45,460.45,460.45,460.45
88,XUHIZ,BIST HIZMETLER,BIST SERVICES,TRY,30/10/2020,1000.04,1010.52,989.58,1012.29
89,XUHIZ_CFNPTLUS,BIST HIZMETLER (ABD DOLARI),BIST SERVICES (USD),USD,30/10/2020,700.44,700.44,700.44,700.44
90,XUHIZ_CFNPTLER,BIST HIZMETLER (EURO),BIST SERVICES (EURO),EUR,30/10/2020,703.23,703.23,703.23,703.23
91,XELKT,BIST ELEKTRIK,BIST ELECTRICITY,TRY,30/10/2020,71.46,70.19,69.17,72.04
92,XELKT_CFNPTLUS,BIST ELEKTRIK (ABD DOLARI),BIST ELECTRICITY (USD),USD,30/10/2020,50.05,50.05,50.05,50.05
93,XELKT_CFNPTLER,BIST ELEKTRIK (EURO),BIST ELECTRICITY (EURO),EUR,30/10/2020,50.25,50.25,50.25,50.25
94,XILTM,BIST ILETISIM,BIST TELECOMMUNICATION,TRY,30/10/2020,362.24,364.24,356.51,365.77
95,XILTM_CFNPTLUS,BIST ILETISIM (ABD DOLARI),BIST TELECOMMUNICATION (USD),USD,30/10/2020,253.71,253.71,253.71,253.71
96,XILTM_CFNPTLER,BIST ILETISIM (EURO),BIST TELECOMMUNICATION (EURO),EUR,30/10/2020,254.73,254.73,254.73,254.73
97,XINSA,BIST INSAAT,BIST CONSTRUCTION,TRY,30/10/2020,1382.87,1363.32,1358.38,1387.93
98,XINSA_CFNPTLUS,BIST INSAAT (ABD DOLARI),BIST CONSTRUCTION (USD),USD,30/10/2020,968.57,968.57,968.57,968.57
99,XINSA_CFNPTLER,BIST INSAAT (EURO),BIST CONSTRUCTION (EURO),EUR,30/10/2020,972.43,972.43,972.43,972.43
100,XSPOR,BIST SPOR,BIST SPORTS,TRY,30/10/2020,896.84,918.1,883.51,923.36
101,XSPOR_CFNPTLUS,BIST SPOR (ABD DOLARI),BIST SPORTS (USD),USD,30/10/2020,628.15,628.15,628.15,628.15
102,XSPOR_CFNPTLER,BIST SPOR (EURO),BIST SPORTS (EURO),EUR,30/10/2020,630.66,630.66,630.66,630.66
103,XTCRT,BIST TICARET,BIST W. AND RETAIL TRADE,TRY,30/10/2020,3165.35,3237.84,3139.4,3258.5
104,XTCRT_CFNPTLUS,BIST TICARET (ABD DOLARI),BIST W. AND RETAIL TRADE (USD),USD,30/10/2020,2217.03,2217.03,2217.03,2217.03
105,XTCRT_CFNPTLER,BIST TICARET (EURO),BIST W. AND RETAIL TRADE (EURO),EUR,30/10/2020,2225.86,2225.86,2225.86,2225.86
106,XTRZM,BIST TURIZM,BIST TOURISM,TRY,30/10/2020,235.56,233.83,228.65,241.5
107,XTRZM_CFNPTLUS,BIST TURIZM (ABD DOLARI),BIST TOURISM (USD),USD,30/10/2020,164.99,164.99,164.99,164.99
